;year;kommune;perc_change;forandr;reference;faktisk_perf;forventet_perf;indbyggertal;exp;borgmesterskift;partiskift;social;newyear;perc_change_sd
1;2019;Fanø Kommune;0,000979046;4;0,8;8,3;7,5;3404;68991;1;1;1;01-01-2019;0,769502979
2;2019;Morsø Kommune;0,000552635;3;0,5;7,1;6,6;20403;69409;0;0;2;01-01-2019;0,434355629
3;2016;Brønderslev Kommune;0,005698883;97;0,4;7,2;6,8;36047;59342;0;0;1;01-01-2016;4,479162289
4;2016;Favrskov Kommune;0,004771514;112;0,4;7,7;7,3;47655;57903;0;0;2;01-01-2016;3,750275961
5;2016;Kolding Kommune;0,001986268;131;0,4;7,4;7;91695;58104;0;0;3;01-01-2016;1,561150948
6;2016;Ærø Kommune;0,002465202;126;0,4;7;6,6;6290;61465;1;0;4;01-01-2016;1,937579809
7;2017;Solrød Kommune;0,003222645;87;0,4;7,7;7,3;22147;60541;0;0;1;01-01-2017;2,53290873
8;2018;Brønderslev Kommune;0,00610174;73;0,4;7,5;7,1;36289;60811;0;0;1;01-01-2018;4,79579676
9;2018;Kolding Kommune;0,001957854;120;0,4;7,5;7,1;92515;59452;0;0;2;01-01-2018;1,538818709
10;2018;Solrød Kommune;0,002690618;79;0,4;7,7;7,3;22518;64473;0;0;3;01-01-2018;2,114750577
11;2019;Vallensbæk Kommune;0,004033534;17;0,4;7,2;6,8;16654;68371;0;0;3;01-01-2019;3,170244897
12;2019;Ærø Kommune;0,001619832;25;0,4;7,5;7,1;6058;63595;1;0;4;01-01-2019;1,273142476
13;2016;Egedal Kommune;0,003401496;87;0,4;7,8;7,4;42773;65310;0;0;5;01-01-2016;2,673480407
14;2016;Nyborg Kommune;0,001096397;39;0,4;7,1;6,7;31886;57545;0;0;6;01-01-2016;0,861737559
15;2018;Billund Kommune;0,002096277;87;0,4;7,1;6,7;26482;69247;0;0;4;01-01-2018;1,647614853
16;2018;Skive Kommune;0,002757253;95;0,4;7,3;6,9;46599;66148;0;0;5;01-01-2018;2,16712338
17;2016;Roskilde Kommune;0,001574919;62;0,3;7,9;7,6;86207;73704;0;0;7;01-01-2016;1,237842143
18;2017;Kolding Kommune;0,001169906;48;0,3;7,4;7,1;92282;59627;0;0;2;01-01-2017;0,919513232
19;2018;Dragør Kommune;0,002993258;97;0,3;7,9;7,6;14272;66548;0;0;6;01-01-2018;2,352616725
20;2019;Kolding Kommune;0,001861819;29;0,3;7,4;7,1;92893;61621;0;0;5;01-01-2019;1,463337516
21;2016;Billund Kommune;0,001239763;67;0,3;7;6,7;26434;64818;0;0;8;01-01-2016;0,974418723
22;2016;Herning Kommune;0,001827261;137;0,3;7,3;7;87593;59118;0;0;9;01-01-2016;1,436176235
23;2016;Holstebro Kommune;0,002270895;56;0,3;7,3;7;57661;54120;0;0;10;01-01-2016;1,784859712
24;2016;Langeland Kommune;0,001714346;48;0,3;6,8;6,5;12547;90670;1;1;11;01-01-2016;1,34742785
25;2016;Skanderborg Kommune;0,005163381;271;0,3;7,7;7,4;59481;60617;0;0;12;01-01-2016;4,058273032
26;2016;Varde Kommune;0,002693794;60;0,3;7,1;6,8;50289;68071;0;0;13;01-01-2016;2,117246445
27;2017;Assens Kommune;0,002247605;109;0,3;7,2;6,9;41390;63637;0;0;3;01-01-2017;1,766554783
28;2017;Billund Kommune;0,00294187;167;0,3;7,2;6,9;26481;67587;0;0;4;01-01-2017;2,31222753
29;2017;Favrskov Kommune;0,001961696;46;0,3;7,5;7,2;47915;56972;0;0;5;01-01-2017;1,5418377
30;2017;Faaborg-Midtfyn Kommune;0,001307915;35;0,3;7,1;6,8;51376;63786;1;1;6;01-01-2017;1,027984501
31;2017;Hedensted Kommune;0,000188413;3;0,3;7,2;6,9;46524;63679;1;1;7;01-01-2017;0,148086996
32;2017;Herning Kommune;0,001916032;77;0,3;7,3;7;88386;61841;0;0;8;01-01-2017;1,50594733
33;2017;Holstebro Kommune;0,002158409;35;0,3;7,5;7,2;58125;57844;0;0;9;01-01-2017;1,696448772
34;2017;Mariagerfjord Kommune;0,002134616;61;0,3;7,1;6,8;42066;66689;0;0;10;01-01-2017;1,677748064
35;2017;Viborg Kommune;0,001960035;99;0,3;7,3;7;96477;59457;1;1;11;01-01-2017;1,540532401
36;2018;Assens Kommune;0,00146468;61;0,3;7;6,7;41328;64838;0;0;7;01-01-2018;1,151197476
37;2018;Brøndby Kommune;0,001881335;9;0,3;6,7;6,4;35538;79678;0;0;8;01-01-2018;1,478676923
38;2018;Herning Kommune;0,002188739;101;0,3;7,3;7;88733;61048;0;0;9;01-01-2018;1,720287444
