kommune;indbyggertal;udg_pr_6_16;school_size;year;faktisk_perf;forventet_perf;borgmester_for;borgmester_efter;skift_borgm;parti_for;parti_efter;skift_parti;skift_blok
Københavns Kommune;591481;67822;609;2016;6.7;6.9;Frank Jensen;Frank Jensen;0;S;S;0;0
Frederiksberg Kommune;104481;62242;729;2016;7.6;7.6;Jørgen Glenthøj;Jørgen Glenthøj;0;C;C;0;0
Ballerup Kommune;48224;72013;1045;2016;6.8;6.8;Jesper Würtzen;Jesper Würtzen;0;S;S;0;0
Brøndby Kommune;35322;75700;770;2016;6.2;6.2;Kent Max Magelund;Kent Max Magelund;0;S;S;0;0
Dragør Kommune;14142;58575;963;2016;7.8;7.8;Eik Dahl Bidstrup;Eik Dahl Bidstrup;0;V;V;0;0
Gentofte Kommune;75350;56148;698;2016;8.2;8.2;Hans Toft;Hans Toft;0;C;C;0;0
Gladsaxe Kommune;67914;65689;601;2016;7.1;7.3;Trine Græse;Trine Græse;0;S;S;0;0
Glostrup Kommune;22461;74607;2126;2016;6.8;6.9;John Engelhardt;John Engelhardt;0;V;V;0;0
Herlev Kommune;28423;68310;770;2016;6.7;6.8;Thomas Gyldal Petersen;Thomas Gyldal Petersen;0;S;S;0;0
Albertslund Kommune;27880;79855;744;2016;6.2;6.5;Steen Christiansen;Steen Christiansen;0;S;S;0;0
Hvidovre Kommune;52831;74035;629;2016;6.6;6.8;Helle Adelborg;Helle Adelborg;0;S;S;0;0
Høje-Taastrup Kommune;49960;70437;439;2016;6.2;6.3;Michael Ziegler;Michael Ziegler;0;C;C;0;0
Lyngby-Taarbæk Kommune;55097;62220;636;2016;8.4;8.1;Sofia Osmani;Sofia Osmani;0;C;C;0;0
Rødovre Kommune;38002;75164;495;2016;7;6.9;Erik Nielsen;Erik Nielsen;0;S;S;0;0
Ishøj Kommune;22358;80386;412;2016;5.5;5.8;Ole Bjørstorp;Ole Bjørstorp;0;S;S;0;0
Tårnby Kommune;42860;69046;684;2016;6.7;6.5;Henrik Zimino;Allan Andersen;1;S;S;0;0
Vallensbæk Kommune;15419;66405;667;2016;7.6;7.4;Henrik Rasmussen;Henrik Rasmussen;0;C;C;0;0
Furesø Kommune;40156;67234;590;2016;8;7.9;Ole Christensen;Ole Christensen;0;S;S;0;0
Allerød Kommune;24732;61112;669;2016;8.1;8;Jørgen Johansen;Karsten Längerich;1;C;V;1;0
Fredensborg Kommune;40112;66208;644;2016;7.7;7.6;Thomas Pedersen;Thomas Pedersen;0;S;S;0;0
Helsingør Kommune;62092;68317;926;2016;7;7.3;Benedikte Kiær;Benedikte Kiær;0;C;C;0;0
Hillerød Kommune;49672;67087;654;2016;7.8;7.8;Dorte Meldgaard;Kirsten Jensen;1;C;S;1;1
Hørsholm Kommune;24965;61198;634;2016;8.2;8.1;Morten Slotved;Morten Slotved;0;C;C;0;0
Rudersdal Kommune;55739;63260;556;2016;8.3;8.3;Jens Ive;Jens Ive;0;V;V;0;0
Egedal Kommune;42773;65310;1431;2016;7.8;7.4;Karsten Søndergaard;Karsten Søndergaard;0;V;V;0;0
Frederikssund Kommune;44725;68446;802;2016;6.8;7.1;John Andersen;John Andersen ;0;V;V;0;0
Halsnæs Kommune;31049;71624;823;2016;6.2;6.4;Steen Hasselriis;Steffen Jensen;1;V;S;1;1
Gribskov Kommune;41107;61034;584;2016;6.6;7;Kim Valentin ;Anders Frost;1;V;Lokal;1;1
Bornholms Kommune;39756;64477;460;2016;6.4;6.4;Winni Grosbøll;Winni Grosbøll;0;S;S;0;0
Greve Kommune;49518;63268;543;2016;6.8;7;Pernille Beckmann;Pernille Beckmann;0;V;V;0;0
Køge Kommune;59868;63952;474;2016;6.9;6.9;Flemming Christensen;Maria Stærke;1;C;S;1;1
Roskilde Kommune;86207;73704;444;2016;7.9;7.6;Joy Mogensen;Joy Mogensen;0;S;S;0;0
Solrød Kommune;21788;60324;780;2016;7.4;7.3;Niels Hørup;Niels Hørup;0;V;V;0;0
Odsherred Kommune;32816;77314;1007;2016;6.3;6.4;Thomas Adelskov;Thomas Adelskov;0;S;S;0;0
Holbæk Kommune;69972;60071;930;2016;6.6;6.8;Søren Kjærsgaard;Christina Hansen;1;V;S;1;1
Faxe Kommune;35614;59444;1008;2016;6.7;6.6;Erik Buhl;Erik Buhl;0;V;V;0;0
Kalundborg Kommune;48660;65594;252;2016;6.3;6.5;Martin Damm;Martin Damm;0;V;V;0;0
Ringsted Kommune;34031;63041;404;2016;6.7;6.8;Henrik Hvidesten;Henrik Hvidesten;0;V;V;0;0
Slagelse Kommune;78140;63645;360;2016;6.5;6.5;Sten Knuth;John Dyrby;1;V;S;1;1
Stevns Kommune;22260;52336;587;2016;6.6;6.6;Mogens Nielsen;Annette Mortensen;1;Lokal;V;1;1
Sorø Kommune;29543;60955;502;2016;6.5;6.9;Gert Jørgensen;Gert Jørgensen;0;C;C;0;0
Lejre Kommune;27317;62076;428;2016;7.3;7.3;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Lolland Kommune;42638;68688;717;2016;5.8;6.1;Holger Rasmussen;Holger Rasmussen;0;S;S;0;0
Næstved Kommune;82342;55262;689;2016;6.6;6.8;Carsten Rasmussen;Carsten Rasmussen;0;S;S;0;0
Guldborgsund Kommune;60979;62185;379;2016;6.4;6.5;John Brædder;John Brædder;0;Lokal;Lokal;0;0
Vordingborg Kommune;45806;62237;656;2016;6.3;6.6;Michael Larsen;Mikael Smed;1;V;S;1;1
Middelfart Kommune;37913;59883;329;2016;7;7;Johannes Jensen;Johannes Jensen;0;S;S;0;0
Assens Kommune;41224;63227;299;2016;7;6.8;Søren Andersen;Søren Andersen;0;V;V;0;0
Faaborg-Midtfyn Kommune;51236;61068;370;2016;6.7;6.6;Christian Thygesen;Hans Stavnsager;1;V;S;1;1
Kerteminde Kommune;23880;67230;408;2016;6.7;6.7;Hans Luunbjerg;Kasper Olesen;1;V;S;1;1
Nyborg Kommune;31886;57545;614;2016;7.1;6.7;Kenneth Muhs;Kenneth Muhs;0;V;V;0;0
Odense Kommune;198972;57610;456;2016;6.9;6.9;Peter Juel;Peter Juel;0;S;S;0;0
Svendborg Kommune;58228;66018;465;2016;7.1;7;Lars Hornemann;Bo Hansen;1;V;S;1;1
Nordfyns Kommune;29298;64842;525;2016;6.7;6.5;Jan Petersen;Jan Petersen;0;S;S;0;0
Langeland Kommune;12547;90670;312;2016;6.8;6.5;Bjarne Nielsen;Tonni Hansen;1;V;F;1;1
Ærø Kommune;6290;61465;460;2016;7;6.6;Jørgen Jørgensen;Ole Petersen;1;S;S;0;0
Haderslev Kommune;56029;61217;486;2016;7;6.8;Hans Geil;Hans Geil;0;V;V;0;0
Billund Kommune;26434;64818;405;2016;7;6.7;Ib Kristensen;Ib Kristensen;0;V;V;0;0
Sønderborg Kommune;74737;63534;412;2016;7.1;7;Erik Lauritzen;Erik Lauritzen;0;S;S;0;0
Tønder Kommune;37904;63544;295;2016;6.5;6.6;Henrik Frandsen;Henrik Frandsen;0;V;V;0;0
Esbjerg Kommune;115748;61710;1267;2016;6.9;6.9;Johnny Søtrup;Jesper Frost;1;V;V;0;0
Fanø Kommune;3290;70175;374;2016;7.9;7.7;Erik Nørreby;Sofie Valbjørn;1;V;Å;1;1
