"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"1";2019;"Fanø Kommune";0,000361388003973555;0,800000000000001;8,3;7,5;3404;68991;1;1;1;"01-01-2019";0,309995946049612
"2";2019;"Morsø Kommune";0,00151265730899539;0,5;7,1;6,6;20403;69409;0;0;2;"01-01-2019";1,29754620627972
"3";2016;"Brønderslev Kommune";0,00254721295210609;0,4;7,2;6,8;36047;59342;0;0;1;"01-01-2016";2,18498035406769
"4";2016;"Favrskov Kommune";0,00314572782465805;0,4;7,7;7,3;47655;57903;0;0;2;"01-01-2016";2,69838196701963
"5";2016;"Kolding Kommune";0,001719585127641;0,4;7,4;7;91695;58104;0;0;3;"01-01-2016";1,4750473524155
"6";2016;"Ærø Kommune";0,000885695377438933;0,4;7;6,6;6290;61465;1;0;4;"01-01-2016";0,759742917368784
"7";2017;"Solrød Kommune";0,0026871077106598;0,4;7,7;7,3;22147;60541;0;0;1;"01-01-2017";2,30498103906113
"8";2018;"Brønderslev Kommune";0,000949702063088201;0,4;7,5;7,1;36289;60811;0;0;1;"01-01-2018";0,814647376988857
"9";2018;"Kolding Kommune";0,00215504673109419;0,4;7,5;7,1;92515;59452;0;0;2;"01-01-2018";1,84858308200942
"10";2018;"Solrød Kommune";0,0028412150943327;0,4;7,7;7,3;22518;64473;0;0;3;"01-01-2018";2,43717320833525
"11";2019;"Vallensbæk Kommune";0,0034398579671549;0,4;7,2;6,8;16654;68371;0;0;3;"01-01-2019";2,95068461896846
"12";2019;"Ærø Kommune";0,000390631834764694;0,4;7,5;7,1;6058;63595;1;0;4;"01-01-2019";0,335081086930152
"13";2016;"Egedal Kommune";0,000877509923194961;0,399999999999999;7,8;7,4;42773;65310;0;0;5;"01-01-2016";0,752721495505562
"14";2016;"Nyborg Kommune";0,00114812889305464;0,399999999999999;7,1;6,7;31886;57545;0;0;6;"01-01-2016";0,984856438166146
"15";2018;"Billund Kommune";0,00203604397574185;0,399999999999999;7,1;6,7;26482;69247;0;0;4;"01-01-2018";1,7465034022128
